subject,screen,type,order,time_1,time_2,choice_1,choice_2,p1,p2,p3,q1,q2,q3,up1,up2,up3,order1,order2,order3
804021,37,compromise,30,3377,16360,decoy,target,202.14570955550528,128.49160158353055,318.01991249314847,233.4782945366074,148.40779982897715,367.31299892958776,0.8658,0.8658,0.8658,decoy,target,competitor
804021,38,compromise,3,5701,NA,competitor,NA,128.49160158353055,202.14570955550528,81.67421269441888,148.40779982897715,233.4782945366074,94.33371566205408,0.8658,0.8658,0.8658,target,decoy,competitor
804021,39,compromise,1,2429,NA,competitor,NA,144.0623780440912,209.99999999999991,95.13210300778486,137.51408813299676,220.5,90.8079165074312,1.0476,0.9524,1.0476,target,decoy,competitor
804021,40,compromise,36,2723,8770,decoy,competitor,209.99999999999991,144.0623780440912,324.13500000000005,220.5,137.51408813299676,340.341750000001,0.9524,1.0476,0.9524,competitor,target,decoy
804021,41,compromise,12,4793,NA,target,NA,218.1594657485965,136.0544217687074,330.36767226726266,208.2431263963885,142.8571428571428,315.3509598914787,1.0476,0.9524,1.0476,competitor,target,decoy
804021,42,compromise,32,4873,NA,decoy,NA,136.0544217687074,218.1594657485965,88.14669372770133,142.8571428571428,208.2431263963885,92.55402841408666,0.9524,1.0476,0.9524,competitor,decoy,target
804022,1,decoy,9,7984,NA,target,NA,220.00000000000028,129.87012987013017,253.00000000000003,230.99999999999932,136.36363636363623,230.99999999999932,0.9524,0.9524,1.0952,target,decoy,competitor
804022,2,decoy,30,7981,NA,competitor,NA,129.87012987013017,220.00000000000028,129.87012987013017,136.36363636363623,230.99999999999932,118.57707509881416,0.9524,0.9524,1.0952,competitor,decoy,target
804022,3,decoy,15,14276,NA,target,NA,220.00000000000028,122.4006153836726,253.00000000000003,230.99999999999932,141.37271076814173,230.99999999999932,0.9524,0.8658,1.0952,decoy,target,competitor
804022,4,decoy,28,10319,NA,competitor,NA,122.4006153836726,220.00000000000028,122.4006153836726,141.37271076814173,230.99999999999932,122.9327919722972,0.8658,0.9524,0.9957,competitor,decoy,target
804022,5,decoy,2,9565,NA,competitor,NA,129.87012987013017,212.20502766762016,129.87012987013017,136.36363636363623,245.0968069561011,118.57707509881416,0.9524,0.8658,1.0952,decoy,target,competitor
804022,6,decoy,1,11147,NA,target,NA,212.20502766762016,129.87012987013017,244.03578181776336,245.0968069561011,136.36363636363623,245.0968069561011,0.8658,0.9524,0.9957,target,decoy,competitor
804022,7,decoy,14,6996,NA,target,NA,212.20502766762016,122.4006153836726,244.03578181776336,245.0968069561011,141.37271076814173,245.0968069561011,0.8658,0.8658,0.9957,competitor,decoy,target
804022,8,decoy,31,11004,NA,competitor,NA,122.4006153836726,212.20502766762016,122.4006153836726,141.37271076814173,245.0968069561011,122.9327919722972,0.8658,0.8658,0.9957,competitor,target,decoy
804022,9,decoy,42,10209,NA,competitor,NA,137.79547251144095,220.00000000000028,137.79547251144095,131.5320419427396,230.99999999999932,114.37568864586056,1.0476,0.9524,1.2048,decoy,target,competitor
804022,10,decoy,3,12364,NA,target,NA,220.00000000000028,137.79547251144095,253.00000000000003,230.99999999999932,131.5320419427396,230.99999999999932,0.9524,1.0476,1.0952,competitor,decoy,target
804022,11,decoy,36,7612,NA,target,NA,228.08130670593567,129.87012987013017,262.29350271182597,217.7139745829394,136.36363636363623,217.7139745829394,1.0476,0.9524,1.2048,competitor,decoy,target
804022,12,decoy,20,13725,NA,competitor,NA,129.87012987013017,228.08130670593567,129.87012987013017,136.36363636363623,217.7139745829394,118.57707509881416,0.9524,1.0476,1.0952,competitor,target,decoy
804022,13,2menu,22,6164,NA,target,NA,220.00000000000028,129.87012987013017,NA,230.99999999999932,136.36363636363623,NA,0.9524,0.9524,NA,target,competitor,NA
804022,14,2menu,12,4767,NA,target,NA,212.20502766762016,122.4006153836726,NA,245.0968069561011,141.37271076814173,NA,0.8658,0.8658,NA,target,competitor,NA
804022,15,2menu,27,11939,NA,competitor,NA,220.00000000000028,122.4006153836726,NA,230.99999999999932,141.37271076814173,NA,0.9524,0.8658,NA,competitor,target,NA
804022,16,2menu,10,6194,NA,target,NA,212.20502766762016,129.87012987013017,NA,245.0968069561011,136.36363636363623,NA,0.8658,0.9524,NA,competitor,target,NA
804022,17,2menu,18,7341,NA,target,NA,220.00000000000028,137.79547251144095,NA,230.99999999999932,131.5320419427396,NA,0.9524,1.0476,NA,competitor,target,NA
