"","lp__","lp_approx__","I","m","lam","gamma","beta","alpha","k","tau","delta",".chain",".iteration",".draw","Chain"
"187",-271.62,-4.15019,1.75679,1.10035,0.860808,5.95088,0.739782,0.974177,1,0,0,1,187,1,1
"188",-213.907,-3.00001,1.75331,1.05343,0.915027,5.59268,0.78366,0.988369,1,0,0,1,188,1,1
"189",-233.241,-2.15131,1.82471,0.987331,0.820352,5.61571,0.724277,1.00128,1,0,0,1,189,1,1
"190",-215.046,-4.49211,1.81707,1.01989,0.714766,5.77665,0.818729,0.960047,1,0,0,1,190,1,1
"191",-215.227,-4.78498,1.7826,1.04171,0.797432,5.18153,0.733039,0.959104,1,0,0,1,191,1,1
"192",-271.319,-2.22263,1.7657,1.03948,0.732825,5.89271,0.748857,1.01344,1,0,0,1,192,1,1
"193",-271.501,-12.5427,1.92376,1.10589,0.600608,5.64841,0.718695,1.03073,1,0,0,1,193,1,1
"194",-270.252,-2.75235,1.72556,1.08571,0.721475,5.62903,0.748383,0.979879,1,0,0,1,194,1,1
"195",-213.132,-1.53176,1.84426,1.02877,0.840122,5.71694,0.76154,1.00557,1,0,0,1,195,1,1
"196",-278.416,-3.23003,1.73808,1.07775,0.755448,5.85016,0.7597,1.0163,1,0,0,1,196,1,1
"197",-213.731,-1.8322,1.85001,1.04374,0.746719,5.47124,0.776531,0.980861,1,0,0,1,197,1,1
"198",-229.593,-2.69172,1.84688,1.01673,0.768432,5.93758,0.754412,0.960659,1,0,0,1,198,1,1
"199",-231.677,-2.51243,1.75213,0.97082,0.794535,5.54244,0.745589,0.966892,1,0,0,1,199,1,1
"200",-217.12,-4.17542,1.81094,1.04529,0.975,5.5836,0.726258,0.961328,1,0,0,1,200,1,1
"201",-230.887,-1.51692,1.79418,0.988036,0.786137,5.69916,0.725365,0.987842,1,0,0,1,201,1,1
"202",-213.43,-2.13282,1.79619,1.07439,0.715747,5.39398,0.770711,0.987927,1,0,0,1,202,1,1
"203",-270.654,-3.09003,1.75438,1.09962,0.742982,5.55902,0.750515,1.02155,1,0,0,1,203,1,1
"204",-217.735,-6.01114,1.83363,0.988277,0.794616,5.71966,0.823529,1.02301,1,0,0,1,204,1,1
"205",-229.799,-0.49233,1.78123,1.02955,0.771876,5.76891,0.756396,0.971487,1,0,0,1,205,1,1
"206",-234.24,-8.14195,1.78375,1.01397,0.65655,5.44086,0.744442,0.902718,1,0,0,1,206,1,1
"207",-212.447,-1.8258,1.78263,1.07506,0.870655,5.57718,0.741629,0.963085,1,0,0,1,207,1,1
"208",-218.257,-5.49976,1.88896,0.981941,0.756935,5.41483,0.719195,0.969758,1,0,0,1,208,1,1
"209",-216.024,-2.61518,1.79038,1.02701,0.899382,5.4001,0.733917,0.983511,1,0,0,1,209,1,1
"210",-269.738,-2.93472,1.74737,1.04997,0.718677,5.90379,0.760514,0.956775,1,0,0,1,210,1,1
"211",-215.804,-2.05811,1.79577,1.06631,0.811075,5.75857,0.792226,1.00345,1,0,0,1,211,1,1
