"","variable","mean","median","sd","mad","q5","q95","rhat","ess_bulk","ess_tail"
"225","beta[18]",1.2040742805,1.18854,0.199482898027885,0.197764014,0.9024693,1.559893,0.99950103588369,1837.800942267,1786.22749994212
"226","beta[19]",1.2696240465,1.25029,0.221466240792399,0.216318753,0.9378632,1.6716215,1.00068976829061,2022.76881429932,1849.87517262224
"227","beta[20]",1.094069951,1.08089,0.174710525082171,0.1758889923,0.83442885,1.404103,1.00075245946161,1946.82382853566,1676.21635046981
"228","beta[21]",1.240249302,1.22331,0.192791698465402,0.191381421,0.94738165,1.581458,1.00006421317075,1940.82044843525,1884.27190098687
"229","beta[22]",1.2081182635,1.194645,0.195273865249776,0.186244212,0.91066815,1.5565825,0.999540302787618,1986.94767686636,1847.15004656627
"230","beta[23]",1.239228471,1.21463,0.234785423415747,0.227957163,0.8926186,1.6508305,0.999884864177568,1921.35958159489,1800.16247662235
"231","beta[24]",1.0982206265,1.06526,0.254050679376515,0.2336481231,0.7426845,1.546454,1.00012574036525,2030.67654615655,2116.4929514184
"232","beta[25]",1.1470763085,1.138125,0.182906533180005,0.187081881,0.86907965,1.470613,0.999519748368661,2047.63502613101,1906.89372359115
"233","beta[26]",0.9922613955,0.9691765,0.218405508622002,0.205006515,0.6848519,1.373076,0.999943084957786,2027.63820756885,1889.09425838167
"234","beta[27]",1.164322521,1.144765,0.224420027983704,0.212997729,0.82960755,1.563879,0.999665001141913,2043.27217351531,1890.9935019116
"235","beta[28]",1.0916093615,1.084965,0.176873379204049,0.1761462234,0.8237195,1.4004715,0.999843031075503,2003.29720877365,1884.85168018523
"236","beta[29]",1.154848045,1.127375,0.237898083850326,0.226585758,0.8138061,1.581782,1.00007144430246,2037.94425938005,1531.51019857558
"237","beta[30]",1.1087101785,1.08427,0.24430884491011,0.233427957,0.7477189,1.5536365,0.999631547112888,1830.33617157632,1688.13959207653
"238","beta[31]",1.314072239,1.303205,0.183014489683792,0.178082499,1.0312855,1.634344,1.00003720971298,2105.33421026087,1897.06113843708
"239","beta[32]",0.7484213855,0.733367,0.140099292781076,0.1322531091,0.54418845,0.99490555,1.00042211622065,1929.96340458832,1923.00432897657
"240","beta[33]",1.191183018,1.16725,0.234615655177995,0.231671076,0.8507057,1.61942,1.00043063275662,1857.53839497072,1804.20751052324
"241","beta[34]",0.9111648195,0.8937965,0.192717320819175,0.1855755594,0.6279324,1.2366405,1.00050761321498,2079.83317129682,1883.11399664497
"242","beta[35]",0.947331451,0.923341,0.217815071279443,0.2034801783,0.6342826,1.3352165,1.00047488112576,1941.94489503532,1998.28093781652
"243","beta[36]",1.086535429,1.06714,0.20538114560079,0.2061651669,0.7834111,1.441651,0.999696107796091,1901.35405563408,1883.11399664497
"244","beta[37]",1.148086948,1.126335,0.228890991731702,0.2224248411,0.80919115,1.5615335,0.99976437832556,2008.14741123057,1818.33472657004
"245","beta[38]",1.2322332385,1.22129,0.172271663921078,0.170713977,0.9745905,1.5467685,1.00004174891562,1974.95372262191,1981.25009459501
"246","beta[39]",1.1294014225,1.11446,0.179790411228249,0.1788705009,0.8618572,1.4506115,1.00077283612585,1909.30463238277,1697.44636194883
"247","beta[40]",1.2283292655,1.20448,0.240692433483105,0.230929776,0.8778214,1.6564835,0.99999762843267,2011.9607781522,1888.50074619099
"248","beta[41]",1.18936884,1.17145,0.238545889933584,0.233702238,0.84304455,1.627719,0.999566305833304,1902.75728303413,1815.13839989692
"249","beta[42]",1.118062946,1.09993,0.216840751081931,0.215236455,0.7968405,1.488674,1.00015112129258,2058.70640686815,2002.87030852694
"250","beta[43]",1.0863115945,1.067635,0.211213205199444,0.2054238669,0.78002235,1.4685135,1.00028803464233,1884.32871755342,1959.24382853243
"251","beta[44]",1.0734316535,1.05603,0.220244961562957,0.2138035221,0.747159,1.474683,0.999942270796033,1921.93218140771,2015.82241646354
"252","beta[45]",1.1801892335,1.154935,0.235748654568406,0.228439008,0.83487425,1.603981,1.00042253298434,2052.33701571037,1959.92797555622
"253","beta[46]",0.9840704675,0.9401495,0.269522476326676,0.2518967052,0.62206355,1.477401,0.999890045687215,2090.25702290229,2004.22343020712
"254","beta[47]",1.31679318,1.30394,0.1799945744244,0.174316695,1.0451855,1.6445555,1.00051155828134,2101.58833022789,1863.23065286609
"255","beta[48]",1.3014027135,1.295055,0.170443874465308,0.164301732,1.041673,1.6028675,0.99956443932804,1702.67127605336,1784.54980944494
"256","stay[1]",0.96737295,0.93704,0.249932766713024,0.235525836,0.6159431,1.438959,0.999534801811701,1959.53431650223,1976.30413322545
"257","stay[2]",0.784837986,0.768943,0.16140365013909,0.1586218914,0.54399255,1.070009,1.0007993630208,1973.665249241,1817.96295948255
"258","stay[3]",0.462808689,0.443112,0.141536376081364,0.1295740509,0.270357,0.711947,0.999599937450055,1982.51447602965,1694.57288411863
"259","stay[4]",0.935637113,0.914114,0.185046110397084,0.1747851966,0.66947915,1.265345,1.00151053251369,1970.56545790332,1858.63064404193
"260","stay[5]",0.341835026,0.3272945,0.107515210628704,0.0990169236,0.19654155,0.5458866,1.00062639183706,2134.1597379519,1957.48277366368
"261","stay[6]",0.784165967,0.7717035,0.149281024336737,0.1451925006,0.56875285,1.0551565,1.0008307561533,1725.23172018698,1921.86099939317
"262","stay[7]",1.0388916645,1.01965,0.218671392817589,0.2182705959,0.7253983,1.437689,0.999595022727742,1843.81778492221,1819.63424324174
"263","stay[8]",0.850769604,0.7841885,0.33873627833288,0.2784975144,0.42831715,1.522259,0.999555082272746,2003.90804619305,2003.88489292958
