"","lp__","lp_approx__","I","m","lam","gamma","beta","stay","alpha","k","tau",".chain",".iteration",".draw","Chain"
"173",-1024.65,-3.42327,1.81276,1.01233,0.314442,2.73846,0.601341,1.0361,1.48199,1,0,1,173,1,1
"174",-1023.95,-3.21145,1.80379,1.02826,0.399115,2.63928,0.564878,0.926231,1.46192,1,0,1,174,1,1
"175",-1034.55,-2.77282,1.84429,0.945587,0.378351,2.59634,0.633455,0.930278,1.46592,1,0,1,175,1,1
"176",-1026.82,-6.7028,1.78722,1.0459,0.370646,2.63938,0.609386,1.02723,1.52179,1,0,1,176,1,1
"177",-1034.25,-5.7532,1.84542,0.982019,0.375844,2.56455,0.647483,0.890304,1.52958,1,0,1,177,1,1
"178",-1023.69,-2.532,1.85425,1.00606,0.32668,2.67791,0.570979,1.00421,1.48203,1,0,1,178,1,1
"179",-1027.42,-1.90565,1.84012,0.999015,0.334228,2.65551,0.647043,0.933674,1.44092,1,0,1,179,1,1
"180",-1026.48,-3.36083,1.81089,0.94184,0.362693,2.75337,0.574639,0.903805,1.48772,1,0,1,180,1,1
"181",-1023.62,-1.91034,1.79262,0.991741,0.323669,2.6374,0.600693,0.918252,1.47167,1,0,1,181,1,1
"182",-1030.9,-3.74308,1.85116,0.990693,0.464782,2.67142,0.668262,0.972863,1.45959,1,0,1,182,1,1
"183",-1023.89,-2.15685,1.79023,1.00669,0.408255,2.73159,0.588483,0.91905,1.47697,1,0,1,183,1,1
"184",-1027.25,-2.59119,1.81059,0.992786,0.387848,2.60522,0.610719,0.945254,1.43699,1,0,1,184,1,1
"185",-1023.61,-2.4325,1.87095,1.00663,0.379593,2.79894,0.592591,0.985715,1.4799,1,0,1,185,1,1
"186",-1024.76,-5.69362,1.7623,0.99923,0.403669,2.70935,0.658161,1.03208,1.48466,1,0,1,186,1,1
"187",-1022.91,-1.62278,1.8593,1.0127,0.369459,2.75948,0.606558,0.994012,1.47435,1,0,1,187,1,1
"188",-1024.33,-3.06684,1.77319,0.96233,0.330795,2.72859,0.610478,0.91067,1.47584,1,0,1,188,1,1
"189",-1026.04,-1.33522,1.86555,1.00316,0.354192,2.68138,0.631465,0.978218,1.46004,1,0,1,189,1,1
"190",-1024.91,-3.4515,1.82203,1.02186,0.438216,2.7074,0.654297,0.893996,1.46031,1,0,1,190,1,1
"191",-1029.45,-3.26891,1.79765,0.942578,0.381115,2.64319,0.594999,0.911846,1.48978,1,0,1,191,1,1
"192",-1023.38,-3.01547,1.85552,1.05581,0.381127,2.72458,0.638159,0.934324,1.47171,1,0,1,192,1,1
"193",-1027.11,-5.02671,1.7609,0.997117,0.378541,2.7061,0.653794,0.938114,1.52097,1,0,1,193,1,1
"194",-1044.99,-4.09484,1.7721,1.04544,0.355872,2.70785,0.652938,0.935234,1.48424,1,0,1,194,1,1
"195",-1058.78,-2.92199,1.80789,1.02783,0.307618,2.81434,0.610207,0.937125,1.48465,1,0,1,195,1,1
"196",-1022.27,-0.983223,1.81185,1.01451,0.372222,2.73636,0.596311,0.957935,1.49005,1,0,1,196,1,1
"197",-1027.03,-3.25133,1.86148,0.973161,0.430497,2.7817,0.630731,0.893521,1.47208,1,0,1,197,1,1
"198",-1026.83,-2.21687,1.87096,0.981974,0.390827,2.7223,0.648818,0.991899,1.48874,1,0,1,198,1,1
"199",-1027.39,-2.33074,1.8161,0.951213,0.34007,2.70574,0.650117,0.900265,1.4787,1,0,1,199,1,1
"200",-1025.35,-7.43942,1.80796,0.9133,0.320014,2.86762,0.655276,0.948365,1.46121,1,0,1,200,1,1
"201",-1024.19,-1.44557,1.80953,0.990998,0.34855,2.68683,0.65069,0.953129,1.50519,1,0,1,201,1,1
"202",-1032.06,-7.21693,1.7782,0.995266,0.336482,2.7584,0.525763,0.881964,1.45143,1,0,1,202,1,1
"203",-1025.12,-1.92319,1.85559,0.982308,0.318737,2.7537,0.651704,0.921441,1.49245,1,0,1,203,1,1
"204",-1028.15,-5.2425,1.80093,1.00796,0.403966,2.53787,0.597709,1.02301,1.47278,1,0,1,204,1,1
"205",-1027.38,-3.36802,1.81832,0.988057,0.344927,2.63219,0.59101,0.869832,1.50068,1,0,1,205,1,1
"206",-1023.82,-2.05625,1.78249,0.971524,0.359143,2.73368,0.601251,0.915553,1.48432,1,0,1,206,1,1
"207",-1034.09,-6.18798,1.88913,0.953784,0.284343,2.65601,0.659138,0.923798,1.5052,1,0,1,207,1,1
"208",-1023.83,-2.62912,1.79633,0.965339,0.344768,2.74858,0.661163,0.974388,1.4522,1,0,1,208,1,1
"209",-1040.67,-7.02686,1.83298,0.959151,0.518238,2.68042,0.547287,0.959478,1.47157,1,0,1,209,1,1
"210",-1032.04,-5.28493,1.78452,0.977955,0.403556,2.51894,0.633357,0.959514,1.45401,1,0,1,210,1,1
"211",-1025.7,-4.63309,1.8108,0.98215,0.312898,2.74748,0.65244,1.01533,1.43039,1,0,1,211,1,1
"212",-1025.8,-4.27986,1.8928,0.977091,0.3015,2.76055,0.598226,0.964728,1.50365,1,0,1,212,1,1
"213",-1023.21,-3.34734,1.80464,0.964561,0.30147,2.76839,0.604291,1.00903,1.46893,1,0,1,213,1,1
"214",-1022.85,-1.24761,1.80552,1.01385,0.35555,2.71791,0.634014,0.908455,1.47306,1,0,1,214,1,1
"215",-1026.27,-4.69314,1.81166,0.953328,0.309597,2.73763,0.623979,0.989995,1.5268,1,0,1,215,1,1
"216",-1040.03,-6.47583,1.81944,0.976444,0.382545,2.52359,0.708898,0.953967,1.44822,1,0,1,216,1,1
"217",-1031.22,-4.07222,1.85142,0.990497,0.349334,2.67055,0.679435,1.01926,1.44203,1,0,1,217,1,1
"218",-1021.94,-2.08437,1.80312,1.03122,0.354857,2.63295,0.594191,0.968242,1.47125,1,0,1,218,1,1
"219",-1028.66,-2.97769,1.86426,0.999946,0.358767,2.66439,0.631442,0.869864,1.48827,1,0,1,219,1,1
"220",-1023.95,-2.23969,1.80019,0.973617,0.356392,2.68171,0.556664,0.963978,1.47125,1,0,1,220,1,1
"221",-1023.13,-1.5458,1.8166,1.00879,0.397753,2.70816,0.576263,0.951534,1.45669,1,0,1,221,1,1
