"treatment","I","gamma","m","lam","beta","stay","alpha"
3,1.95257902,2.644131114,0.9245200545,0.51030991095,0.59294422,0.796100681,1.97060152
3,4.55474348,3.2227168075,0.8531884485,0.4508796838,0.534485825,1.177239821,1.97060152
3,2.532064775,2.323022412,0.893658684,0.5685961305,0.5215244745,0.4038635075,1.97060152
3,2.083486775,2.886040378,1.010793277,0.4364205486,0.6553767735,1.0184849875,1.97060152
3,0.8188800085,1.368038666,0.8946048195,0.44257190285,0.7755587405,1.213030951,1.97060152
3,2.325674925,2.278635981,0.8579514605,0.3545144442,0.770761268,1.518180378,1.97060152
3,0.9407344165,2.22663663,0.920822127,0.28260690385,0.8289266415,1.334171128,1.97060152
3,2.41666499,2.98975913,1.0061770015,0.3678981376,0.734704502,0.804843346,1.97060152
3,0.832257836,2.65398264,0.8466564395,0.483642918,0.5843700115,1.147973508,1.97060152
3,0.913617827,0.80393183465,0.817852074,0.41830898615,0.8493893555,1.20578606,1.97060152
3,2.55522034,3.962836295,0.5560940975,0.33481533585,0.6792538765,0.568330986,1.97060152
3,2.88951122,3.6259187955,0.856025261,0.44171429725,0.695585703,0.9392568285,1.97060152
3,2.0496164,2.76120443,1.087956915,0.36878462795,0.6181311745,1.374722112,1.97060152
3,0.9622797755,1.462226069,0.9098907715,0.52447709765,0.5594282665,1.196240848,1.97060152
3,2.588275075,1.7424408055,0.842474152,0.54763103695,0.573855512,0.493133896,1.97060152
3,3.958856165,5.207724295,0.9001539145,0.7861879155,0.3786976305,0.597423351,1.97060152
3,0.7908926,1.8033544075,0.946478056,0.2999668288,0.875369359,1.106981179,1.97060152
3,0.8097003755,1.382672319,0.7581185865,0.4504752759,0.7173923385,1.353343499,1.97060152
3,2.07035124,1.3072048755,0.798400309,0.4233977956,0.7672597385,0.9857149965,1.97060152
3,1.55572305,3.578810715,0.862118097,0.19531757215,0.744374587,1.291745207,1.97060152
3,0.908329578,3.003823405,0.8371431975,0.32257339125,0.631228355,0.9127134871,1.97060152
3,2.15346014,4.9921694,0.9754609865,0.5050434505,0.3977684505,0.4330145435,1.97060152
3,1.76932252,3.17206074,1.1345607165,0.65610934,0.6042203825,0.935740857,1.97060152
3,1.0832925185,2.870344425,1.080762328,0.15548965735,0.9369461245,0.59657544375,1.97060152
