"","variable","mean","median","sd","mad","q5","q95","rhat","ess_bulk","ess_tail"
"276","beta[9]",0.8832672895,0.856919,0.227540643248791,0.2205159936,0.5613219,1.296998,1.00067778932605,2015.46426353912,2045.1897662217
"277","beta[10]",0.401292027,0.367337,0.170678633591357,0.1444549071,0.1892239,0.7257646,1.00042220726684,1884.73654563035,1844.88283039418
"278","beta[11]",1.121826829,1.095395,0.23963542965361,0.23388015,0.7712385,1.5516225,0.999582308347804,2080.74862653646,1983.49695943346
"279","beta[12]",0.45979867865,0.4128925,0.229907560728255,0.1943073321,0.19297565,0.8740448,0.999766865465139,2129.98920410948,1827.30728451777
"280","beta[13]",0.2321865799,0.195342,0.15529009964152,0.1129585527,0.07510399,0.5181522,0.999943664164521,1926.08254902917,1921.04251342886
"281","beta[14]",0.884036316,0.846894,0.283830849894468,0.2606870406,0.49964505,1.4108655,1.00059202211342,1891.96949385223,1883.11399664497
"282","beta[15]",0.846095062,0.828551,0.209143381562766,0.1991747079,0.5504883,1.2184925,1.00173222889537,1799.07713081112,1936.43908965466
"283","beta[16]",0.51181826565,0.4789385,0.210164765221185,0.183582945,0.2492675,0.91456895,1.00101303811638,1978.63712710206,1750.23789844311
"284","beta[17]",0.451256958,0.4225115,0.163708327272342,0.1520636103,0.2371329,0.76233055,0.999663456903272,1940.59733656172,1659.77087489724
"285","beta[18]",0.801179497,0.7593875,0.275472321411268,0.2578812201,0.44308735,1.3107955,1.00074207428002,1878.5027983943,1960.80838298342
"286","beta[19]",0.8314345975,0.7957485,0.235334173637065,0.2233618443,0.51001055,1.256789,0.999787095543704,2002.18737138437,1930.21434201342
"287","beta[20]",0.733410404,0.70768,0.196143169158145,0.1871789913,0.4623912,1.084493,0.999723893474924,1967.43604189027,1731.81523286504
"288","beta[21]",0.4813837927,0.452992,0.172597618682967,0.1529094336,0.25420265,0.8109313,0.99984879332503,2122.32769050437,1952.52150349494
"289","beta[22]",0.910062828,0.8907225,0.209527685090298,0.1961605821,0.6006182,1.2779145,0.999592755814347,2164.62432172186,1733.27152198724
